timestamp,target
2024-01-01T00:00:00,98.56
2024-01-02T01:00:00,98.37
2024-01-03T02:00:00,99.09
2024-01-04T03:00:00,107.32
2024-01-05T04:00:00,99.12
2024-01-06T05:00:00,85.53
2024-01-07T06:00:00,103.92
2024-01-08T07:00:00,98.03
2024-01-09T08:00:00,98.63
2024-01-10T09:00:00,102.06
2024-01-11T10:00:00,103.32
2024-01-12T11:00:00,112.74
2024-01-13T12:00:00,107.77
2024-01-14T13:00:00,102.41
2024-01-15T14:00:00,94.02
2024-01-16T15:00:00,91.35
2024-01-17T16:00:00,104.06
2024-01-18T17:00:00,114.81
2024-01-19T18:00:00,102.22
2024-01-20T19:00:00,100.84
2024-01-21T20:00:00,107.32
2024-01-22T21:00:00,87.56
2024-01-23T22:00:00,99.08
2024-01-24T23:00:00,107.2
2024-01-25T00:00:00,111.13
2024-01-26T01:00:00,100.09
2024-01-27T02:00:00,106.37
2024-01-28T03:00:00,105.18
2024-01-29T04:00:00,110.62
2024-01-30T05:00:00,91.77
2024-01-31T06:00:00,108.68
2024-01-01T07:00:00,87.95
2024-01-02T08:00:00,77.0
2024-01-03T09:00:00,97.23
2024-01-04T10:00:00,94.24
2024-01-05T11:00:00,112.26
2024-01-06T12:00:00,110.24
2024-01-07T13:00:00,91.51
2024-01-08T14:00:00,112.27
2024-01-09T15:00:00,93.88
2024-01-10T16:00:00,103.14
2024-01-11T17:00:00,101.16
2024-01-12T18:00:00,105.34
2024-01-13T19:00:00,112.49
2024-01-14T20:00:00,110.78
2024-01-15T21:00:00,108.0
2024-01-16T22:00:00,111.1
2024-01-17T23:00:00,109.48
2024-01-18T00:00:00,98.53
2024-01-19T01:00:00,97.73
2024-01-20T02:00:00,100.3
2024-01-21T03:00:00,110.09
2024-01-22T04:00:00,102.7
2024-01-23T05:00:00,128.66
2024-01-24T06:00:00,97.21
2024-01-25T07:00:00,94.51
2024-01-26T08:00:00,113.28
2024-01-27T09:00:00,119.92
2024-01-28T10:00:00,110.86
2024-01-29T11:00:00,114.26
2024-01-30T12:00:00,120.26
2024-01-31T13:00:00,105.16
2024-01-01T14:00:00,91.97
2024-01-02T15:00:00,100.98
2024-01-03T16:00:00,115.93
2024-01-04T17:00:00,92.06
2024-01-05T18:00:00,106.94
2024-01-06T19:00:00,109.23
2024-01-07T20:00:00,103.64
2024-01-08T21:00:00,114.14
2024-01-09T22:00:00,112.81
2024-01-10T23:00:00,130.31
2024-01-11T00:00:00,113.4
2024-01-12T01:00:00,101.21
2024-01-13T02:00:00,101.78
2024-01-14T03:00:00,99.18
2024-01-15T04:00:00,117.12
2024-01-16T05:00:00,102.03
2024-01-17T06:00:00,107.1
2024-01-18T07:00:00,115.39
2024-01-19T08:00:00,100.77
2024-01-20T09:00:00,105.16
2024-01-21T10:00:00,89.79
2024-01-22T11:00:00,97.48
2024-01-23T12:00:00,102.72
2024-01-24T13:00:00,112.66
2024-01-25T14:00:00,120.53
2024-01-26T15:00:00,108.52
2024-01-27T16:00:00,111.41
2024-01-28T17:00:00,110.58
2024-01-29T18:00:00,119.85
2024-01-30T19:00:00,118.03
2024-01-31T20:00:00,111.94
2024-01-01T21:00:00,99.19
2024-01-02T22:00:00,118.43
2024-01-03T23:00:00,113.31
2024-01-04T00:00:00,121.87
2024-01-05T01:00:00,109.4
2024-01-06T02:00:00,129.33
